author,updated_at,like_count,text,public,language
@felixhadiyanto4373,2024-01-28T16:15:37Z,0,"Bukankah di Negara Jepang Nenek Moyang nya Sendiri saja Tidak Laku / Gagal, Mengapa DiBuang ke INDONESIA, Apakah Tong Sampah Negara kita ini ???",True,id
@user-pg5ip7gu6o,2024-01-27T10:59:13Z,0,"HARGA MOBIL LEBIH MAHAL,TAPI LEBIH AMAN DARI MOBIL LISTRIK.dari resiko terbakar.
lebih tahan lama, baterai lebih awet👍",True,id
@japjungho4645,2024-01-26T23:31:13Z,0,German g bisa saing dlm energy listrik. Baru skrng mo andalkan hydrogen. Telat ah.,True,id
@fairijaya6083,2024-01-23T07:51:05Z,1,Mending mobil hidrogen..lebih murah..timbang listrik,True,id
@utopiiaaa,2024-01-23T04:23:45Z,0,"Ketika terjadi crash, apakah ledakan hidrogen nya aman ?

 Atau ketika mobil terbakar juga apakah aman ?",True,id
@prayogawahyu,2024-01-23T01:59:26Z,0,"Sebenarnya hydrogen fuel lebih efektif, pengisian nya cepat, dan ramah lingkungan, tp dr segi harga masih jauh lebih mahal dari listrik bahkan BBM, ini yg bikin sulit diadopsi, keamanan nya pun jg masih blm banyak diuji dibandingkan BBM dan EBV",True,id
@indraLukmana2705,2024-01-18T23:18:40Z,1,"Ayo cepet "" di tangani lebih "" hisrogen lebih efisien dan  untuk pemerintah segera membuat peluncuran kendaraan dari bahan hidrogen semangat ❤❤",True,id
@ahmadlaibu2739,2024-01-12T03:50:22Z,1,"Mobil hidrogen konsepnya mirip mobil listrik, yg menggerakkan roda mobil adalah motor listrik. Bedanya sumber energi listriknya, kalau EV dari baterai sedangkan mobil hidrogen berasal dari 'fuel cell''. Fuel cell adalah perangkat elektro-kimia yang secara langsung mengubah energi kimia menjadi energi listrik. Dia memproduksi listrik dari penyediaan bahan bakar hidrogen dan oksigen dari luar. Hal ini berbeda dengan energi internal dari baterai.",True,id
@muhamadrifkikurniawan7050,2024-01-12T00:00:40Z,0,Bukan pengganti tapi pendamping kendaraan listrik 👍👍👍🙏🙏🙏☺️☺️☺️🇮🇩🇮🇩🇮🇩❤️❤️❤️,True,id
@teckteck2910,2023-12-25T06:54:05Z,0,biasanya mobil hidrogen tuh mahal biayanya,True,id
@mbantumanten3075,2023-12-06T11:30:38Z,0,Ini untuk menjegal  rencana industri kendaraan listrik indonesia,True,id
@sushan239,2023-09-13T05:28:17Z,0,Negara dg gurun pasir luas memiliki peluang SBG produsen green energy.,True,id
@AdityaArga-yk6dc,2023-08-28T00:26:20Z,1,Di Indonesia masih ribut sama mobil listrik😂😂😂😂😂😂,True,id
@candrasananggala937,2023-08-25T02:43:24Z,3,"Endingnya akan seperti mobil berbahan gas, cuma dipakai di sebagian angkot, taksi dan bus transjakarta. Lihat saja ketika bus Transjakarta akan mengisi gas di SPBG di daerah Cililitan, bikin macet karena tidak semua lokasi ada SPBG, investasinya mahal.",True,id
@MATADEWARA,2023-08-12T04:14:19Z,0,Indonesia tetap cuan dengan teknologi ini karena bahan baku semua ada di Indonesia,True,id
